Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel,Journalists,Experts,"127context hits for ""public"" / ""opinion"""
,,Suspend Opinion,,,,,"OPINION SHOULD BE SUSPENDED.ӍNearly Three Hundred Lives Lost . Intense Excitement Exists in Madrid as W"
Undecided/Unclear,,,,,,,"only happen at such opportunities.ӍTHE LOSS OF THE ҍAINE.ӍIn the present tense state of public opinion in the United States and Spain , the tremendous news of the destruction of the warship ҍaineӠin"
,,,,,,Undecided/Unclear,"ssed regret for the disaster , the Minister Woodford . The issue of `` '' Maine '' '' An expert opinion Mr. Arlington M. Betts , who are passing through the city and is in charge of the national rese"
,,,,,,Undecided/Unclear,"national reserve of Ohio ( E.U . ) was interviewed last night at the American Club to know your opinion on the cause of the disaster of the American steamer in Havana . The summary of the interview i"
,,,,,,Undecided/Unclear,"rs were kept would seem to preclude any possibility of trouble from the inside . ANOTHER EXPERT OPINION . WASHINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives"
,,,,,,Accident,"HINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives it as opinion that the explosion on the `` '' Maine '' '' was occasioned by spontaneous combustion caused by"
,,,,,,Accident,"HINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives it as opinion that the explosion on the `` '' Maine '' '' was occasioned by spontaneous combustion caused by"
,,,Accident,,,,"osion ambassador to Spain . This showed the greatest feeling by this catastrophe which , in his opinion , can not be more than accidental , since the visit of the Maine in Havana , assumed a purely f"
,,,,,,Undecided/Unclear,"ssed regret for the disaster , the Minister Woodford . The issue of `` '' Maine '' '' An expert opinion Mr. Arlington M. Betts , who are passing through the city and is in charge of the national rese"
,,,,Undecided/Unclear,,,"national reserve of Ohio ( E.U . ) was interviewed last night at the American Club to know your opinion on the cause of the disaster of the American steamer in Havana . The summary of the interview i"
Undecided/Unclear,,,,,,,"who knows his duty , as their suspicions , their convictions or the truth of the facts , in his opinion , should not communicate to anyone , if not secretly to his Government , so that it take the pa"
,,,,,,Undecided/Unclear,"rs were kept would seem to preclude any possibility of trouble from the inside . ANOTHER EXPERT OPINION . WASHINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives"
,,,,,,Accident,"HINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives it as opinion that the explosion on the `` '' Maine '' '' was occasioned by spontaneous combustion caused by"
,,,,,,Undecided/Unclear,"rs were kept would seem to preclude any possibility of trouble from the inside . ANOTHER EXPERT OPINION . WASHINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives"
,,,,,,Accident,"HINGTON , Feb. 16.- B.F. Sherwood , retired chief engineer of the United States nay gives it as opinion that the explosion on the `` '' Maine '' '' was occasioned by spontaneous combustion caused by"
,,,Accident,,,,"osion ambassador to Spain . This showed the greatest feeling by this catastrophe which , in his opinion , can not be more than accidental , since the visit of the Maine in Havana , assumed a purely f"
,,Suspend Opinion,,,,,"t destroyed by the explosion was lost in the water . Mr. Sigsbee asks in his office that public opinion suspend their judgment until they have official reports . It is believed that the Jinkins and M"
,,Attack,,,,,"uch apuncture could be made . Secretary Long also denies that Captain Sigsbee has expressed the opinion that the ҍaineӠwas blown up by a torpedo or that the explosion was caused by externas contact ."
,,,,,,Accident,"e of our reporters had an interview with a well-known Spanish trader , who told him that in his opinion , the explosion was not caused only by an oversight , and it was assumed that the accident was"
,,,,Undecided/Unclear,,,"7.- Sicard Admiral telegraphed the Secretary Long , Key West , this afternoon , saying that the opinion of Lt. John Hood , Maine , who has just arrived from Havana , is that the ship may not used as"
Attack,,,,,,,": < < I do not think that the disaster occurred at Maine > > < < was an accident . I am of the opinion that the explosion is the work of a third party . I believe so founded on the fact that the tel"
Accident,,,,,,,"was accidental and could not be attributed blame the Spaniards . Cabinet members have that this opinion will Sentiment in Madrid . Madrid , February 17 . All the political sentiment have disappeared"
,,,,,,Accident,"o source some oversight on board . BT Sherman , exprimer Navy engineer , says : < < I am of the opinion that the explosion that destroyed the Maine < < > > was caused by spontaneous combustion of suc"
,,,Accident,,,,"o the Ambassador of Spain . This showed the greatest feeling by this catastrophe which , in his opinion , can not be less than accidental , since the visit of `` '' Maine '' '' to Havana assumed a pu"
,,Attack,,,,,"uch apuncture could be made . Secretary Long also denies that Captain Sigabbe has expressed the opinion that the ҍaineӠwas blown up by a torpedo or that the explosion was caused by external contact ."
,,,Attack,,,,"an Junta says : '' '' I do not think the explosion of Maine has been accidentally verified , my opinion is that the disaster is the work of an oversight . What it makes me think this is Captain Sigab"
