Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"65 context hits for ""public"" / ""opinion"""
,,Suspend Opinion,,,,,"Captain Sigshee wires that 263 men and two officer- were lost.. He states he can not express an opinion as to the cause of the ti aster . It is authoritatively stiited that informa­ tion received so"
,,Suspend Opinion,,,,,"above water . No one ssved was got off with anything but tile clothes upon hilll . \ '' Fublic opinion an to the cLuse of the disaster should be suspended till further report . \ '' All the officers"
Attack,,,,,,,"is could only have been an itnmemse mass of water raised by the explcsion of a torpedo . Public opinion is not at all inclined to nccept the theory of accident . All the susp cious elenteits ot the c"
Undecided/Unclear,,,,,,,"the investigation into tl the cause of the Maine disaster has greatly ex­ cited not only public opinion in the States but also that of the official world and it is openly stated that if Spain persist"
Undecided/Unclear,,,,,,,"w oil the retired list has been inter­ viewed with respect to the state of affairs . Hiae is of opinion that the tragedy of the -Maine need not . cause a ruptsu-c betwee3 Spain and the United . State"
,,,,Undecided/Unclear,,,"ates ; tlial has been cor­ |rect in all resnects.\ '' The general concluded by ex­ pressing the opinion that the United States weret l not prepared for wvar but they doubtless sous would be . The cru"
,,Suspend Opinion,,,,,"ieces of equipmeont . Till above received none has other clothes than ) those on hint . iPublic opinion should be suspended till further report . All olficers arc believed saved bItt Licts . lenkins"
,,Suspend Opinion,,,,,"wvires that 253 inert and two oilicers I u vere lost fie states that lie can not expless an t e opinion as to the cause of the disaster . It is authoritativel­ state ] that the informatioi J v receiv"
Undecided/Unclear,,,,,,,"th it such grave responsi­ blities . it was difficult indeed he added to give expression to any opinion in face of the information at present to hand Taking the pres-nt state of affairs into consider"
,,Suspend Opinion,,,,,"rnjent . Ti ; L the above is re­ I ceive~i none has o ; ner eltLijs thau those on bim . Publiic opinion sh'ii he e*sp~inded Tau­ tii further reprr . Al oflizers are beliLwed to be s.ves . Lieutent ."
,,,,,,Accident,"xcitement in the lavy De­ partinent . Mr Dickens Chief of the Naviga­ tion Bireau expressee the opinion tht the ex­ plosion courred in the m > gazine He saya the fact that the Maine did not sink imme"
Undecided/Unclear,,,,,,,"as aicci­ den-iml C-xit-in S i-bh-c in hin teleitrtums sa s he is not prepare-i t­ exc - ess an opinion on that p nr . Tho mrrnirg papers comment osutioasly on ihl Ma n.­ di­ is er . Th­ Ti.Jie says-"
Undecided/Unclear,,,,,,,"formed of the diaaster to the Maine at first refused to believe it . Ho declined to express any opinion oa the subject . New Yorlk Smnday . The Vi2eaya is still anchored outside the harbour the fog n"
,,Suspend Opinion,,,,,"n4c-idefical . CaEpta in Sigsbee in his telegrams isays he i- : i : oL prepared to express aCO opinion on that oInt 1 p n. p Calt ; icn Sigsbee cables that 253 aten and two officers have secl loste"
,,,,,Suspend Opinion,,"ported to have informed a London correspondent that it would be manifestly unfair to express an opinion as to the c2ause of the explosion until after the fullest investigations . Lord Charles Berefor"
Accident,,,,,,,"antl I seoo of tele cruiser who have arrived at Key West and have been interviwed wvere all of opinion that the explosion wvas * ; ue to act internal cause . In accorodance avit-b orders received fr"
,,,,,,Undecided/Unclear,"ly witL : the families of the individual sufferers in the calamity that has befallen them . THE OPINION OF CLYDE SHIPBUILDERS . As was to be nxpected with so much warship work on hand the disaster to"
,,,,,,Accident,"it was difficult to come to a conclusion as 4o the cause but chiefly amongst Admiralty men the opinion was that the ex­ plosion certainly originated in the vessel itself . All scouted the idea of Sp"
Undecided/Unclear,,,,,,,". zt n explosion . in any ono magazine would caule exsrceioms in others in the vicinity and his opinion uvas that by some means or other the cue-coatton nraancine had been fired ui-ore than likclv bh"
Undecided/Unclear,,,,,,,"that there was danger of wvar between the United States andi ; Spai . and such an expression of opinion comling I tfrom a. man in such a responsible position nato­ f rally caused consideiable sensati"
,,,,Undecided/Unclear,,,"t to the investigation into the cause of the Maine disaster has greatly excited not only public opinion in tihe States but also that of the official world and it is openly stated that if Spain per­ s"
Undecided/Unclear,,,,,,,"retired list ! has been inter­ vievwed with respect to the state of affairs . He says he is of opinion that the tragedy of the Maine need not cause a rupture between Scamn and the United States . If"
,,,,Undecided/Unclear,,,"ted States . That has been correct in all respects.\ '' The General concluded by expressing the opinion that the United States Evere not prepared for war but they doubtless soon would be . ' I The cr"
,,Suspend Opinion,,,,,"a few piec of equipment . Till above received none has other clothes than thuwe ca him . Public opinion should be suspended till further report . All officers are beliuved saved bat Jenkins and Merri"
,,,,,,Accident,"ement . in the Navy De­ partment.. Mr. Dickens the Chief of the Navigation Burean expresses the opinion \ '' hat the explosion occurred in the magazine . He says the ifct that the Maine did not sink"
,,,,Undecided/Unclear,,,"Minister . The Embassy officials possess no further information than that in the nevwspapers . OPiNION OF THE SPANISH NAVAL COMMANDER MAo1RID Wednesday Night.-The Commander-il-Chief of ithe Spanish"
,,,,Accident,,,"him to proceed to I-lavana . Alluding to the accident to the Maine General Weyler expressed the opinion that the disaster was due to the indolence of the crew and referred to the ironical remarks tha"
Undecided/Unclear,,,,,,,"at wvould have been called forth had the Maine been a Spanish warship . He affirmed that public opinion rebelled against a policy that had not succeeded in securing the desired peace and which had le"
Accident,,,,,,,"internal f explosiou . As to thce urigin nf the explosion t there isi stil n wide difterence of opinion but the coalbunlrer theory to-day finds wore strong I supporters thla any other . Thris is base"
,,Suspend Opinion,,,,,"nght ovisely be nostWoueti . The + Tribune \ '' echoes Captain Sigsheba re­ quest that . public opinion siauld be suspended till a ffirther report is to ihan ( d and observes : it is the manifetst du"
Undecided/Unclear,,,,,,,"Gazette \ '' yester­ day said . It would be unwise nti ( to say imsooslle to give auy ciefluite opinion as to the cause of this ter­ rible catastrophe until zurlher informaa tion arrives but it wppea"
Undecided/Unclear,,,,,,,"formed of the disaster to the Maine refused at first to believe it . He declined to express any opinion of the subject.-Reitder THE AMEER 'S ATTTITUDE TOWARDS THE AFRIDIS STEERING A MIDDLE COULRSE ."
,,,Suspend Opinion,,,,"l1aine reporting her destruction to the Secretary of the Nvyy in Washington says that \ pubhlic opinion shou'ld be susplenddcd till further report.\ '' The tremendous noiso of the explosinal was hnar"
Accident,,,,,,,"sion wras due to external auses and not the internal ignition of etnnagah~iue it is the general opinion a the explosion vas produced by atoral causes in tho forward maga . e It is eoncedcd that the e"
Accident,,,,,,,"nce that the Maine disaster was a pure accident this morning 's news from Havana confirming the opinion and the rate-cutting news has little effect with the better political atmosphere prevailing . B"
,,,Attack,,,,"s could oily have been an . immense mass of water raised by the explosion of a torpedo . Public opinion is not at all inclined to accept the theory of the accident . All the suspicious elements of th"
,,Suspend Opinion,,,,,"e Pettrrii ^ : ^ tj loakat know faaHabaa ntregadbs aldetsealtaf Loari p ( f * before . > Public opinion must suspend tiiS jui d hAta meet new detaUbS ; '' '' G '' '' Mse ^ e t6do ree `` '' Ofici '' '"
