Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
,,Suspend Opinion,,,,,"ieces of eauinment still above water , No one lind other clothes 1 than those upon him . Publlo opinion should i tie suspended till further report All officers j believed to be saved . Jenkins and Me"
,,,,Accident,,,"ning the diMMter to the Maine . Capt . IMrkena , chief of the navigation bureau , eipreeeed the opinion to-day that the eiploelon totk plare In the magaslns of the Uaiue . He raid thia wan evident fo"
,,,,Attack,,,"harbor was the result of treachery and an act without parallel In the world 's history . In his opinion war most Inevitably follow . `` When divers examine the hill of the vessel , '' said Commander"
,,,Undecided/Unclear,,,,"the principal topic of con sideration by the senate committee on foreign relations to-day . The opinion generally expressed by the members that the occuirence may result In grave com plications onles"
,,,Attack,,,,"formatlon before expressing their opin ion . Kx-Senator Butler , of South Carolina . was of the opinion that souie bold man had gone aboard the Maine and placed a grenade wun a slow matcn wuer it wou"
,,,Accident,,,,"ntatives as to the extent of the Maine disaster . Senator Piatt of Connecticut express ? ed the opinion that the explosion would be found to be the result of an accident from within and he doubted th"
,,,Attack,,,,"t to bring about an ex plosion on the ship . Ex-Senator Butler , of South Carolina , was of the opinion that some bold man bad gone aboard the Maine and placed a grenade with a slow match where it wo"
Accident,,,,,,,"me used because of j the meagerness of present information as to details expressed the informal opinion that the accident occurred from spontaneous combustion in the coal bunkers , the heat of which"
,,,Attack,,,,"re 999 iu 1.000 that the calamity aid uot result from accident . '' Senator Mills expressed the opinion that the occurrence was the work of a torpedo . `` I would not say , '' he sa 'd . `` that the"
,,,,Undecided/Unclear,,,"as to the appearance of the wreck or in the conflicting stories of tho survivors to change the opinion of the majority of the officers stationed in the Navy Department that the Maine sunk as tbe res"
,,,,Undecided/Unclear,,,"Admiral Sicard telegraphed Secretary L : > ug from Key West this afternoon as follows : 'To tne opinion of Lieut . John Hood , of the Maine , who has just arrived from Hav aua , the Maiue can never a"
,,,,Undecided/Unclear,,,"the offi ? cers of the Maine wiio have arrived at Key West from Havana . It is the uni ? versal opinion of all the officers and meu who were aboard the Maine at the lim ? that lha explosion was due t"
,,,Attack,,,,"full com ? mand . The Hag of the Maine is kept floating at half mast from the wreck . It is the opinion of European diplomates that even if it should be developed that the Maine was deliberately blow"
,,Suspend Opinion,,,,,"ieces of equipment still above water . No nne had other clothes than those upon him . '' Public opinion should be suspended until further reports . All officers are La.li+ . rd to bh , saved . Jenkin"
,,,,,,Undecided/Unclear,"t of which the horror may be justly viewed . oecretary Long undoubtedly sum marized the general opinion of the ma jority of the naval experts in finding it imposible just now to state the cause of th"
,,,,Undecided/Unclear,,,"is expected this work will take some time , and while there are officers who say that in their opinion it will not be possible , owing to the probable disrupted condition of the hull of the ship , t"
,,,,Undecided/Unclear,,,"able disrupted condition of the hull of the ship , to make out the cause of the explosion , the opinion of the ma jority is that the question will easily be settled by a simple observation of the con"
,,,Accident,,,,"the meager information at hand and the possible consequence , therefore declined to express any opinion at this time . Senators and members of the house , aa a rule , express the opinion for publica"
,,,Accident,,,,"express any opinion at this time . Senators and members of the house , aa a rule , express the opinion for publica tion that the catastrophe was the result of accident and not of design , but there"
,,,Undecided/Unclear,,,,"blish , to the effect that the affair looked very mysterious . As a rule senators expressed the opinion that the department would and should make a thorough investigation , and added that for the pre"
,,,Undecided/Unclear,,,,"d army ought to be summoned to take the matter up itn earnest . '' Senator Carter expressed the opinion that no amount of investigation would clear up the mystery . The explosion would leave no trace"
Attack,,,,,,,"rbor to be the result of treachery and in act without parallel in the world 's uistory . In his opinion , war must in vitably follow . `` When the divers go down and exam ne the hull of the vessel ,"
,,,,Attack,,,"xplosioa occurred and left almost none of her crew alive . REAR ADMIRAL BELKNAP . HeI Is of the Opinion That a Torpedo Was Used . ostoln . Fl'b . 16.- -hear Admiral Gleorge 1 Iknap , [ nitei Statlts"
,,Suspend Opinion,,,,,". Captain Sigsbee , in his telegrams rom Havana , states that he is not pre pared to express an opinion on this point . Sailed for Havana . Key West , Fla. , Feb. 16.-The light souse tender Mangrove"
,,,,Accident,,,"gton , saying the disaster to the Maine was indisputably due to an acci dent . Admiral Erben 's Opinion . New York . Feb. 18.-Rear Admiral Erben . U. S. N. , retired , said to-day that he was incline"
Undecided/Unclear,,,,,,,"ot be said that the various phases of the speculation during the day repre sented any change of opinion as to the very grave possibilities with which the disaster is pregnant , The occasional checks"
Accident,,,,,,,"eports current here . the divers have not made any investigation of the wreck . and the general opinion expressed in Spanish circles is that the explosion ocurred inside the Maine . ELxpEretl to fe I"
Accident,,,,,,,"e explosion , whether from within or without the ship . He stated that prob ably no intelligent opinion could be formed until divers made an investiga tion of the ship . Dealned by Secretary l.ong ."
,,Attack,,,,,"etary Long positively denied that Captain Sigsbee has in any suppressed telegram ex pressed the opinion that a torpedo caused the disaster , or that it came from an external euse . The captain said ."
,,Suspend Opinion,,,,,"from an external euse . The captain said . on the contrary , he could not venture to express an opinion . The navy depart ment received a dispatch this morning from Admiral BScard giving the details"
,,Suspend Opinion,,,,,"s of such a ship and that so many lives have been sacrificed . Of course I could not express an opinion as to whether the disaster was due to an accident or Spanish design , as nothing but meager par"
,,,,Undecided/Unclear,,,".-Admiral Sicard telegraphed Secretary Long from Key West this afternoon as follows : `` In the opinion of Lieutenant Hood of the Maine , who has just arrived from Hav ana , the Maine can never again"
,,,,Accident,,,"ted . Barcelona , Feb. 17.-Lieutenant Gen eral Weyler , who arrived here to-day . expressed the opinion in the course of an interview that the disalter which had befallen the Vnited States warship in"
Accident,,,,,,,"on of such design . Therefore my impression has been all along , and 1 rather think the general opinion preponderates in the same di rection , that it must have been acci dental . `` At the cabinet m"
,,,,,,Accident,"that each government will make an In vestigation of this character concur rently . AN EXPERT 'S OPINION . Professor Alger Is Confildent That It Was Not a Torpeno . W\Vhington . Fbh . 1R. -- The opini"
,,,,,,Accident,"INION . Professor Alger Is Confildent That It Was Not a Torpeno . W\Vhington . Fbh . 1R. -- The opinion of In , ' of the leading exlarts in the use of high ext ) losives . I'rofe.ssor Alger . of the"
Undecided/Unclear,,,,,,,"e , se thee the awful calamity thai e vo'etaCtken us. , when we should re º y texpression of an opinion of Sbef a* to how this awful disaster etLgght about , intil in a proper , and formal way , an i"
Accident,,,,,,,"hat many people of the United States be ileve the explosion was accidental , coin cide with the opinion held by the Span ish officials , and the excitment which followed the disaster has subsided int"
,,,,,,Attack,"yl vester Scovel , under to-day 's date from Havana , via Key West , says : `` The consensus of opinion of those who have studied the wreck closely is now that the explosion was caused by a submarine"
,,,,Undecided/Unclear,,,"upheaval of the water . such as would inevitably follow a marine explosion . glltliSk OUteer 's Opinion . London , Feb. 19.-A high naval itti cer writes from the admiralty to a friend : '1 am grieved"
,,Suspend Opinion,,,,,"views with him . The first merely said : ' '' I have consistently refrained from expressing any opinion on the Maine disaster . '' Later in the day he wired : `` No news paper divers have been used o"
,,,,,,Undecided/Unclear,"tons , so there is an ample mar gin of lifting power . She wreckers were the last to express an opinion as to their ability to raise the hull of the Maine . .Mr . Chapman and Captain Humphreys stated"
,,Suspend Opinion,,,,,"pieces of equipment still above water . No one had any clothes other than those on him . Public opinion should be suspended until further report . All officers believed to be saved . Jenkins and Merr"
,,,,Accident,,,"a , Feb. 19 . Lieuten ant General Valeriano Weyler , 'who has arrived here today ex pressed the opinion in the course of an interview that the Maine disaster in Havana har bor was `` due to the indol"
,,Suspend Opinion,,,,,"erviews with him . The first merely said : `` I have consistently refrained from expressing mj- opinion on the Maine disaster . ' Later in the day he wired : `` No newspaper divers have been used on"
Attack,,,,,,,"harbor to be the reault at treachery and an act without parallel the world ' , hlatory . In hla opinion war muf fnevltably follow . THE TWO MISSING OITICEKS . Washington . Keb . 16 . -The two office"
,,,,Undecided/Unclear,,,"ht of which the horror may bo Justly viewed . Secretary Long undoubtedly summarised the general opinion of the majority ot the nnvnl experts In finding It Impossible Just now to stnto the cause of th"
,,,Undecided/Unclear,,,,"bly disrupted condition of the hull of the ship , to make out tho cause of th e explosion , the opinion of the majority Is thnt the question will caBlly be sottlod by a simple examination of the cond"
Undecided/Unclear,,,,,,,"ia , Samoa , at the time of th dlaaater then , wu ern at hli horn . In Wt Nnwcon . Aaked for an opinion on the M line , h said : `` One thing to m. aeemi certain : Th . le that I ( aid agalnat Spain"
Undecided/Unclear,,,,,,,"such a ship and so many live , ( had to be sacrificed . Of coune , I could J `` of . expreaa an opinion as to what th . I disaster wa due to . an accident or i gpanlh , , , JU , meag-r j particulars"
Undecided/Unclear,,,,,,,"of explolon whether from within or without the ship . He r.tated i that probably no Intelligent opinion could : be formed until divers moke an Investl- Ration of the f hip . , . FOP . RELIEF Or WOl N"
,,,,Undecided/Unclear,,,"sing of the mattress . About 100 of the Maine 's heroes are yel In the wreck . ADMIRAL BUNCE 'S OPINION . New York , Feb. 21 . Tho World says : Rear Admiral Francis Dunce , U. S. N- . commandant of t"
,,,,Undecided/Unclear,,,"Eurce , saying it would be necessary to wait until the Maine could be raised before form ing an opinion as to the cause cf tho blowing up . The officer called atteutlon to the fact said : `` I take t"
,,Suspend Opinion,,,,,"t cablegram to tho Washington governmental authorities carried th ! wtso admonition : `` Public opinion should kc suspended until further report . '' No mistake was made In sending tho Maine to Havan"
,,Suspend Opinion,,,,,"ew and the few pieo & s of the wrecked vessel which are still above water . I trust tbat public opinion , will be suspended nntil further particulars are received . . Dead Ter sinking of the battlesh"
,,,Undecided/Unclear,,,,"r king to speak I can not see how a. such an explosion could be the result of Zufallcs u. in my opinion , it is high time our country daß et .- 'as does. `` Senator Clark said.. , Es is noticeable wü"
,,,Undecided/Unclear,,,,"b . Schlesinger . 84 I. , engineer A special - Comite of the Congress is to go according to his opinion , Havana and bring clarity to the matter . A Bewilli supply of 000 für elevation of , Maine . `"
Undecided/Unclear,,,,,,,"astrophe herbeigeführt by daß one of the magazines into the air flew , , so is tenosfiziere the opinion of the local Flot , the investigation shows the explosion daß in Schieàbaum wanted - took place"
,,,,Undecided/Unclear,,,"d the lower armor plates unharmed , then thereby the said theory is proved to be correct in the opinion of the officers . Senator Proctor travels to Havana . PRESIDENT Washington , D. C .. Feb. 22 ."
,,,Accident,,,,"ound impression at the capital . Sena tors and members of tbe house , as s rule , expressed the opinion for publi cation that the catastrophe was the re sult of accident , and not of design , but the"
,,,Undecided/Unclear,,,,"effect that tho affair looked very mys terious and doubtful . As a rule sena tors expressed the opinion that the de partment would and should make thor ough investigation nnd added that for the prese"
,,Suspend Opinion,,,,,"as 2A0 live of Auierican sailors were lost . It is well perhaps to suspenld the expressioll of opinion until niore is kniowin , bit the sequeice of events is very signiticant and leads one to feur t"
,,Suspend Opinion,,,,,"ASH INGTON Navy Department Informed by Captain Sigsbee but No Details Given . Asked That Public Opinion Be Suspended Until Fur- ther Reports . HAVANA , Fob . 17.—At 9:46 o'clock a terrible explosion"
,,Suspend Opinion,,,,,"gren­ ade shell that was hurled over the navy yard . SIGSBEE SENDS A REPORT . Asks That -Public Opinion Be Withheld for the Present . WASHINGTON , Feb. 17.—The secre­ tary of the navy received the fo"
,,Suspend Opinion,,,,,"ces of equip­ ment still above water . No one had other clothes than those upon him . `` Public opinion should be suspended till further report . All officers believed to be saved . Jenkins and Merri"
,,,Accident,,,,"ng the delay that would have arisen from the use of cipher . LONG HAS LITTLE TO SAY . Is of the Opinion the Explosion Was of Accidental Origin . WASHINGTON , Feb. 17 . Secretary long received Captain"
